image,brand,brand_item_name,brand_product_url,hahababy_item_name,hahababy_product_url_official,hahababy_product_url_shopee,hahababy_product_url_social,removed,snapshot_url,source,source_url
743036055_17946576564238747_395982548523463037_n.jpg,Viga Wang,X分牛仔褲裙,https://www.vigawang.com/product/x%E5%88%86%E7%89%9B%E4%BB%94%E8%A4%B2%E8%A3%99/,大人側邊打褶丹寧寬版五分褲,https://www.hahababyselect.com/products/%E5%A4%A7%E4%BA%BA%E5%81%B4%E9%82%8A%E6%89%93%E8%A4%B6%E4%B8%B9%E5%AF%A7%E5%AF%AC%E7%89%88%E4%BA%94%E5%88%86%E8%A4%B2,https://shopee.tw/%E3%80%90hahababy%E3%80%91%E5%A4%A7%E4%BA%BA%E5%81%B4%E9%82%8A%E6%89%93%E8%A4%B6%E4%B8%B9%E5%AF%A7%E5%AF%AC%E7%89%88%E4%BA%94%E5%88%86%E8%A4%B2-i.780247315.52613952592,https://www.facebook.com/hahababyselect/posts/pfbid02Piz7XyC5HEaVKWENFdXTwoD8QBpxCakPKeaRE31wjCNpiv2SSYr8ikddu5QzVdVpl,1,https://web.archive.org/web/20260715150730/https://www.hahababyselect.com/products/%E5%A4%A7%E4%BA%BA%E5%81%B4%E9%82%8A%E6%89%93%E8%A4%B6%E4%B8%B9%E5%AF%A7%E5%AF%AC%E7%89%88%E4%BA%94%E5%88%86%E8%A4%B2,yyds200e,https://www.threads.com/@yyds200e/post/DaoIU0xE-8X
743187035_17946576543238747_8443210900819452612_n.jpg,MARKEY'S,Wガーゼキャミワンピース,https://markeys-online.jp/c/onepiece/c-9311,極簡系列-兒童三重紗細肩洋裝,https://www.hahababyselect.com/products/%E6%A5%B5%E7%B0%A1%E7%B3%BB%E5%88%97-%E5%85%92%E7%AB%A5%E4%B8%89%E9%87%8D%E7%B4%97%E7%B4%B0%E8%82%A9%E6%B4%8B%E8%A3%9D,https://shopee.tw/%E3%80%90hahababy%E3%80%91%E6%A5%B5%E7%B0%A1%E7%B3%BB%E5%88%97-%E5%85%92%E7%AB%A5%E4%B8%89%E9%87%8D%E7%B4%97%E7%B4%B0%E8%82%A9%E6%B4%8B%E8%A3%9D-i.780247315.54911226356,,1,,yyds200e,https://www.threads.com/@yyds200e/post/DaoIU0xE-8X
743276473_17946576534238747_4729455529426863300_n.jpg,SOU・SOU,高島縮棉 40/40 短袖T-shirt／depo leopard Daylight,https://www.sousou.co.jp/zh-hant-tw/products/9427109,豹紋系列-大人短袖襯衫上衣,https://www.hahababyselect.com/products/%E8%B1%B9%E7%B4%8B%E7%B3%BB%E5%88%97-%E5%A4%A7%E4%BA%BA%E7%9F%AD%E8%A2%96%E8%A5%AF%E8%A1%AB%E4%B8%8A%E8%A1%A3,https://shopee.tw/%E3%80%90hahababy%E3%80%91%E8%B1%B9%E7%B4%8B%E7%B3%BB%E5%88%97-%E5%A4%A7%E4%BA%BA%E7%9F%AD%E8%A2%96%E8%A5%AF%E8%A1%AB%E4%B8%8A%E8%A1%A3-i.780247315.52363176261,https://www.facebook.com/hahababyselect/posts/pfbid0ZnVjL3e4zQ5uKdft8KktC5JMktbAyoCDPdq8GW7S8b7V6LN37L98brwiCpdjxFZVl,,https://web.archive.org/web/20260717161202/https://www.hahababyselect.com/products/%E8%B1%B9%E7%B4%8B%E7%B3%BB%E5%88%97-%E5%A4%A7%E4%BA%BA%E7%9F%AD%E8%A2%96%E8%A5%AF%E8%A1%AB%E4%B8%8A%E8%A1%A3,yyds200e,https://www.threads.com/@yyds200e/post/DaoIU0xE-8X
743485140_17946576513238747_9080740350988763142_n.jpg,Bell Pony,ビッグポケット デニムワイドパンツ BPS-26818 [Bell Pony],https://yk-lifestyle-market.com/products/%E3%82%A2%E3%83%BC%E3%83%81%E7%95%B0%E7%B4%A0%E6%9D%90%E5%88%87%E6%9B%BF-%E3%82%B3%E3%82%AF%E3%83%BC%E3%83%B3%E3%83%91%E3%83%B3%E3%83%84-bps-26580-bell-pony-%E3%82%B3%E3%83%94%E3%83%BC?srsltid=AfmBOopiJKVLLO5-CMAVF1UbVgQqEE4yo3bfaM7wCa5y5680zhJRJb-Y,大人牛仔口袋七分寬褲,https://www.hahababyselect.com/products/%E5%A4%A7%E4%BA%BA%E7%89%9B%E4%BB%94%E5%8F%A3%E8%A2%8B%E4%B8%83%E5%88%86%E5%AF%AC%E8%A4%B2,https://shopee.tw/%E3%80%90hahababy%E3%80%91%E5%A4%A7%E4%BA%BA%E7%89%9B%E4%BB%94%E5%8F%A3%E8%A2%8B%E4%B8%83%E5%88%86%E5%AF%AC%E8%A4%B2-i.780247315.29845207425,,1,,yyds200e,https://www.threads.com/@yyds200e/post/DaoIU0xE-8X
743658292_17946576591238747_5911415632409644333_n.jpg,CECIL McBEE,CECIL McBEE by SUREVE Short Sleeve T-Shirt Black,,Haha擁豹-大人短版上衣,https://www.hahababyselect.com/products/haha%E6%93%81%E8%B1%B9-%E5%A4%A7%E4%BA%BA%E7%9F%AD%E7%89%88%E4%B8%8A%E8%A1%A3,https://shopee.tw/%E3%80%90hahababy%E3%80%91Haha%E6%93%81%E8%B1%B9-%E5%A4%A7%E4%BA%BA%E7%9F%AD%E7%89%88%E4%B8%8A%E8%A1%A3-i.780247315.27344852338,https://www.instagram.com/reel/DZHiZu8TVDt/,,https://web.archive.org/web/20260717161458/https://www.hahababyselect.com/products/haha%E6%93%81%E8%B1%B9-%E5%A4%A7%E4%BA%BA%E7%9F%AD%E7%89%88%E4%B8%8A%E8%A1%A3,yyds200e,https://www.threads.com/@yyds200e/post/DaoIU0xE-8X
744597057_17946576495238747_6719479828347954262_n.jpg,GRANIPH,graniph 猫 ワンピース 黒 ドット 切替 FREE 新品タグ付 スリーピングキャット,https://paypayfleamarket.yahoo.co.jp/item/z580374648,方領背心裙,,,https://www.instagram.com/p/C16qyRCLk4J/?img_index=5,1,,yyds200e,https://www.threads.com/@yyds200e/post/DaoIU0xE-8X
744871507_17946576504238747_278492017162679047_n.jpg,SOU・SOU,Mr.WISH X SOU・SOU 聯名不鏽鋼吸管杯,https://www.mr-wish.com/load_page/get_news_content/1/430,hahababy 不鏽鋼保溫杯 700ML,https://www.hahababyselect.com/products/hahababy-%E4%B8%8D%E9%8F%BD%E9%8B%BC%E4%BF%9D%E6%BA%AB%E6%9D%AF-700ml,https://shopee.tw/%E3%80%90hahababy%E3%80%91%E4%B8%8D%E9%8F%BD%E9%8B%BC%E4%BF%9D%E6%BA%AB%E6%9D%AF-700ML-i.780247315.53111211797,,,https://web.archive.org/web/20260717161545/https://www.hahababyselect.com/products/hahababy-x-%E5%AF%8C%E9%9B%A8%E6%B4%8B%E5%82%98-%E9%BB%9E%E9%BB%9E%E6%8A%98%E5%82%98,yyds200e,https://www.threads.com/@yyds200e/post/DaoIU0xE-8X
745305180_17946576573238747_6145138480641477360_n.jpg,non-hedge,リボンプルオーバー・スカートセットアップ （ブラック）,https://www.magaseek.com/commodity/STIM1322D/NO8892EW06899/,極簡系列-大人小蝴蝶結自帶安全褲短裙,https://www.hahababyselect.com/products/%E6%A5%B5%E7%B0%A1%E7%B3%BB%E5%88%97-%E5%A4%A7%E4%BA%BA%E5%B0%8F%E8%9D%B4%E8%9D%B6%E7%B5%90%E8%87%AA%E5%B8%B6%E5%AE%89%E5%85%A8%E8%A4%B2%E7%9F%AD%E8%A3%99,https://shopee.tw/%E3%80%90hahababy%E3%80%91%E6%A5%B5%E7%B0%A1%E7%B3%BB%E5%88%97-%E5%A4%A7%E4%BA%BA%E5%B0%8F%E8%9D%B4%E8%9D%B6%E7%B5%90%E8%87%AA%E5%B8%B6%E5%AE%89%E5%85%A8%E8%A4%B2%E7%9F%AD%E8%A3%99-i.780247315.53363961246,,1,,yyds200e,https://www.threads.com/@yyds200e/post/DaoIU0xE-8X
745476893_17946576549238747_4819686367354805490_n.jpg,SOU・SOU,自動開收傘(糺之森/五十音歌),https://www.rakuten.com.tw/shop/himeji-zoo/product/0396/,hahababy x 富雨洋傘 抗UV自動折傘,https://www.hahababyselect.com/products/hahababy-x-%E5%AF%8C%E9%9B%A8%E6%B4%8B%E5%82%98-%E9%BB%9E%E9%BB%9E%E6%8A%98%E5%82%98,https://shopee.tw/%E3%80%90hahababy%E3%80%91%E6%8A%97UV%E8%87%AA%E5%8B%95%E6%8A%98%E5%82%98-%E8%BC%95%E9%87%8F%E8%87%AA%E5%8B%95%E5%82%98-%E5%8F%B0%E7%81%A3%E5%9C%A8%E5%9C%B0%E8%A3%BD%E4%BD%9C-%E5%82%98%E9%AA%A8%E7%B5%82%E8%BA%AB%E4%BF%9D%E5%9B%BA-%E5%85%A8%E5%8F%B0%E7%B6%AD%E4%BF%AE-%E6%8A%98%E7%96%8A%E5%82%98-%E8%BC%95%E4%BE%BF%E9%9B%A8%E5%82%98-i.780247315.22772125528,https://www.facebook.com/watch/?v=1325310382870692,,,yyds200e,https://www.threads.com/@yyds200e/post/DaoIU0xE-8X
741693668_18143626372496808_8743714777946279870_n.webp,MARKEY'S,Wガーゼキャミワンピース,https://markeys-online.jp/c/onepiece/c-9311,極簡系列-大人三重紗細肩洋裝,https://www.hahababyselect.com/products/%E6%A5%B5%E7%B0%A1%E7%B3%BB%E5%88%97-%E5%A4%A7%E4%BA%BA%E4%B8%89%E9%87%8D%E7%B4%97%E7%B4%B0%E8%82%A9%E6%B4%8B%E8%A3%9D,https://shopee.tw/%E3%80%90hahababy%E3%80%91%E6%A5%B5%E7%B0%A1%E7%B3%BB%E5%88%97-%E5%A4%A7%E4%BA%BA%E4%B8%89%E9%87%8D%E7%B4%97%E7%B4%B0%E8%82%A9%E6%B4%8B%E8%A3%9D-i.780247315.41481223827,,1,,icelandcatreborn,https://www.threads.com/@icelandcatreborn/post/DapKwwKk9Ln
742895921_18143626333496808_8634900192015078716_n.webp,MARKEY'S,Wガーゼキャミワンピース,https://markeys-online.jp/c/onepiece/c-9311,極簡系列-兒童三重紗細肩洋裝,https://www.hahababyselect.com/products/%E6%A5%B5%E7%B0%A1%E7%B3%BB%E5%88%97-%E5%85%92%E7%AB%A5%E4%B8%89%E9%87%8D%E7%B4%97%E7%B4%B0%E8%82%A9%E6%B4%8B%E8%A3%9D,https://shopee.tw/%E3%80%90hahababy%E3%80%91%E6%A5%B5%E7%B0%A1%E7%B3%BB%E5%88%97-%E5%85%92%E7%AB%A5%E4%B8%89%E9%87%8D%E7%B4%97%E7%B4%B0%E8%82%A9%E6%B4%8B%E8%A3%9D-i.780247315.54911226356,,1,,icelandcatreborn,https://www.threads.com/@icelandcatreborn/post/DapKwwKk9Ln
743016956_18143626345496808_4670318385133592849_n.webp,HELLO.SANFRANCISCO,【HELLO.SANFRANCISCO】ワッフルフレアパンツ,https://zozo.jp/shop/ciaopanictypy/goods/93064663/?did=155291885&rid=3123,極簡系列-大人荷葉車邊喇叭長褲,https://www.hahababyselect.com/products/%E6%A5%B5%E7%B0%A1%E7%B3%BB%E5%88%97-%E5%A4%A7%E4%BA%BA%E8%8D%B7%E8%91%89%E8%BB%8A%E9%82%8A%E5%96%87%E5%8F%AD%E9%95%B7%E8%A4%B2,https://shopee.tw/%E3%80%90hahababy%E3%80%91%E6%A5%B5%E7%B0%A1%E7%B3%BB%E5%88%97-%E5%A4%A7%E4%BA%BA%E8%8D%B7%E8%91%89%E8%BB%8A%E9%82%8A%E5%96%87%E5%8F%AD%E9%95%B7%E8%A4%B2-i.780247315.56308781215,,1,https://web.archive.org/web/20260421042957/https://www.hahababyselect.com/products/%E6%A5%B5%E7%B0%A1%E7%B3%BB%E5%88%97-%E5%A4%A7%E4%BA%BA%E8%8D%B7%E8%91%89%E8%BB%8A%E9%82%8A%E5%96%87%E5%8F%AD%E9%95%B7%E8%A4%B2,icelandcatreborn,https://www.threads.com/@icelandcatreborn/post/DapKwwKk9Ln
743016960_18143626375496808_3929402441851809256_n.webp,one after another NICE CLAUP,袖ボリュームブラウス,https://wear.jp/item/46602947/,極簡系列-細格泡泡短袖襯衫,https://www.hahababyselect.com/products/%E6%A5%B5%E7%B0%A1%E7%B3%BB%E5%88%97-%E7%B4%B0%E6%A0%BC%E6%B3%A1%E6%B3%A1%E7%9F%AD%E8%A2%96%E8%A5%AF%E8%A1%AB-1,,,,https://web.archive.org/web/20260717161730/https://www.hahababyselect.com/products/%E6%A5%B5%E7%B0%A1%E7%B3%BB%E5%88%97-%E7%B4%B0%E6%A0%BC%E6%B3%A1%E6%B3%A1%E7%9F%AD%E8%A2%96%E8%A5%AF%E8%A1%AB-1,icelandcatreborn,https://www.threads.com/@icelandcatreborn/post/DapKwwKk9Ln
743187195_18143626390496808_4182319720125075395_n.webp,niko and...,niko and女【MODE NORM CORE】丹寧牛仔拼色長褲-四色-496199,https://www.dot-st.tw/SalePage/Index/11040209,極簡系列-大人拼接牛仔寬褲,https://www.hahababyselect.com/products/%E6%A5%B5%E7%B0%A1%E7%B3%BB%E5%88%97-%E5%A4%A7%E4%BA%BA%E6%8B%BC%E6%8E%A5%E7%89%9B%E4%BB%94%E5%AF%AC%E8%A4%B2,,,1,https://web.archive.org/web/20260421042456/https://www.hahababyselect.com/products/%E6%A5%B5%E7%B0%A1%E7%B3%BB%E5%88%97-%E5%A4%A7%E4%BA%BA%E6%8B%BC%E6%8E%A5%E7%89%9B%E4%BB%94%E5%AF%AC%E8%A4%B2,icelandcatreborn,https://www.threads.com/@icelandcatreborn/post/DapKwwKk9Ln
743234554_18143626342496808_8970578222337513088_n.webp,RODEO CROWNS WIDE BOWL,ビッグリボンデニムパンツ,https://www.ec-store.net/sws/g/g13711783/,大蝴蝶結寬版牛仔長褲,https://www.hahababyselect.com/products/%E5%A4%A7%E8%9D%B4%E8%9D%B6%E7%B5%90%E5%AF%AC%E7%89%88%E7%89%9B%E4%BB%94%E9%95%B7%E8%A4%B2,https://shopee.tw/%E3%80%90hahababy%E3%80%91%E5%A4%A7%E8%9D%B4%E8%9D%B6%E7%B5%90%E5%AF%AC%E7%89%88%E7%89%9B%E4%BB%94%E9%95%B7%E8%A4%B2-i.780247315.49860808621,https://www.facebook.com/hahababyselect/posts/pfbid0MpFJqgnmLtev1z8zJrm5znYwrdqX9LsTL8ZStPHVTHM5rUevug3KtWdSdi8zFfDyl,1,,icelandcatreborn,https://www.threads.com/@icelandcatreborn/post/DapKwwKk9Ln
743270133_18143626369496808_1419109695452509172_n.webp,ADAM ET ROPÉ ,【洗える】アシメバルーンワンピース （ベージュ系（28））,https://www.magaseek.com/commodity/SJUN1982D/A01578EW026275/,極簡系列-短袖層次尼龍連身裙,https://www.hahababyselect.com/products/%E6%A5%B5%E7%B0%A1%E7%B3%BB%E5%88%97-%E7%9F%AD%E8%A2%96%E5%B1%A4%E6%AC%A1%E5%B0%BC%E9%BE%8D%E9%80%A3%E8%BA%AB%E8%A3%99,https://shopee.tw/%E3%80%90hahababy%E3%80%91%E6%A5%B5%E7%B0%A1%E7%B3%BB%E5%88%97-%E7%9F%AD%E8%A2%96%E5%B1%A4%E6%AC%A1%E5%B0%BC%E9%BE%8D%E9%80%A3%E8%BA%AB%E8%A3%99-i.780247315.48562280897,https://www.facebook.com/hahababyselect/posts/pfbid02T44xLHZcdqkDby1D1bT8NhzmS5DxW1pR1ASAgWoG4y6q8RzEYFt936G3JTAYQmL2l,1,,icelandcatreborn,https://www.threads.com/@icelandcatreborn/post/DapKwwKk9Ln
743811477_18143626393496808_9051821953287898627_n.webp,HELLO.SANFRANCISCO,【HELLO.SANFRANCISCO】ワッフルフレアパンツ,https://zozo.jp/shop/ciaopanictypy/goods/93064663/?did=150556278,極簡系列-大人荷葉車邊喇叭長褲,https://www.hahababyselect.com/products/%E6%A5%B5%E7%B0%A1%E7%B3%BB%E5%88%97-%E5%A4%A7%E4%BA%BA%E8%8D%B7%E8%91%89%E8%BB%8A%E9%82%8A%E5%96%87%E5%8F%AD%E9%95%B7%E8%A4%B2,https://shopee.tw/%E3%80%90hahababy%E3%80%91%E6%A5%B5%E7%B0%A1%E7%B3%BB%E5%88%97-%E5%A4%A7%E4%BA%BA%E8%8D%B7%E8%91%89%E8%BB%8A%E9%82%8A%E5%96%87%E5%8F%AD%E9%95%B7%E8%A4%B2-i.780247315.56308781215,,1,https://web.archive.org/web/20260421042957/https://www.hahababyselect.com/products/%E6%A5%B5%E7%B0%A1%E7%B3%BB%E5%88%97-%E5%A4%A7%E4%BA%BA%E8%8D%B7%E8%91%89%E8%BB%8A%E9%82%8A%E5%96%87%E5%8F%AD%E9%95%B7%E8%A4%B2,icelandcatreborn,https://www.threads.com/@icelandcatreborn/post/DapKwwKk9Ln
744661431_18143626318496808_5166149172784432878_n.webp,RODEO CROWNS WIDE BOWL,Heart Leopard Tシャツ,https://www.ec-store.net/sws/g/g13613024/,Haha擁豹-大人落肩上衣,https://www.hahababyselect.com/products/haha%E6%93%81%E8%B1%B9-%E5%A4%A7%E4%BA%BA%E8%90%BD%E8%82%A9%E4%B8%8A%E8%A1%A3,https://shopee.tw/%E3%80%90hahababy%E3%80%91Haha%E6%93%81%E8%B1%B9-%E5%A4%A7%E4%BA%BA%E8%90%BD%E8%82%A9%E4%B8%8A%E8%A1%A3-i.780247315.50860497856,https://www.instagram.com/reel/DZHiZu8TVDt/,,https://web.archive.org/web/20260717161759/https://www.hahababyselect.com/products/haha%E6%93%81%E8%B1%B9-%E5%A4%A7%E4%BA%BA%E8%90%BD%E8%82%A9%E4%B8%8A%E8%A1%A3,icelandcatreborn,https://www.threads.com/@icelandcatreborn/post/DapKwwKk9Ln
